aggregation_level,take_count,total_frames,evaluated_frames,gesture_frames,no_gesture_frames,no_hand_frames,unannotated_frames,gesture_fraction,no_gesture_fraction,no_hand_fraction,gesture_duration_frames_mean,gesture_duration_frames_median,gesture_duration_frames_std,gesture_duration_frames_q1,gesture_duration_frames_q3,gesture_duration_frames_min,gesture_duration_frames_max,gesture_duration_s_mean,gesture_duration_s_median,gesture_duration_s_std,gesture_duration_s_q1,gesture_duration_s_q3,gesture_duration_s_min,gesture_duration_s_max,public_subject_id,background,gesture_id
subject_gesture,30,4995,4995,1636,3359,0,0,0.3275275275275275,0.6724724724724724,0.0,54.53333333333333,54.5,6.151721560743751,51.0,57.75,42.0,68.0,2.726666666666667,2.725,0.30758607803718757,2.55,2.8875,2.1,3.4,P01,,W
subject_gesture,30,5070,5070,1590,3480,0,0,0.3136094674556213,0.6863905325443787,0.0,53.0,51.5,6.291757059562275,49.25,56.0,42.0,72.0,2.65,2.575,0.3145878529781137,2.4625000000000004,2.8,2.1,3.6,P01,,Y
subject_gesture,30,4964,4964,1694,3267,3,0,0.34125705076551166,0.6581385979049154,0.0006043513295729251,56.46666666666667,54.5,9.768822091607118,51.0,60.5,43.0,92.0,2.823333333333333,2.725,0.4884411045803559,2.55,3.025,2.15,4.6,P02,,A
subject_gesture,30,4941,4941,1704,3234,3,0,0.344869459623558,0.6545233758348512,0.0006071645415907711,56.8,57.0,8.949667687916572,52.0,61.75,35.0,75.0,2.8400000000000003,2.8499999999999996,0.44748338439582847,2.6,3.0875,1.75,3.75,P02,,B
subject_gesture,30,4928,4928,1537,3385,6,0,0.3118912337662338,0.6868912337662337,0.0012175324675324675,51.233333333333334,52.0,11.96167250828254,42.25,59.75,31.0,75.0,2.5616666666666665,2.5999999999999996,0.598083625414127,2.1125,2.9875,1.55,3.75,P02,,C
subject_gesture,30,5005,5005,1733,3270,2,0,0.3462537462537463,0.6533466533466533,0.0003996003996003996,57.766666666666666,56.5,9.04274650578109,51.5,64.0,38.0,80.0,2.888333333333334,2.825,0.4521373252890545,2.5749999999999997,3.2,1.9,4.0,P02,,E
subject_gesture,30,5067,5067,1794,3250,23,0,0.3540556542332741,0.6414051707124532,0.0045391750542727455,59.8,61.5,10.080366714730586,52.5,66.75,40.0,77.0,2.99,3.075,0.5040183357365292,2.625,3.3375,2.0,3.85,P02,,I
subject_gesture,30,5070,5070,1829,3240,1,0,0.36074950690335306,0.6390532544378699,0.0001972386587771203,60.96666666666667,63.0,10.755859135704894,54.25,67.5,39.0,89.0,3.0483333333333333,3.15,0.5377929567852447,2.7125000000000004,3.375,1.95,4.45,P02,,L
subject_gesture,30,4951,4951,1751,3198,2,0,0.3536659260755403,0.6459301151282569,0.0004039587962027873,58.36666666666667,57.0,9.911620951441671,50.25,64.5,45.0,83.0,2.918333333333334,2.8499999999999996,0.4955810475720835,2.5125,3.225,2.25,4.15,P02,,M
subject_gesture,30,4987,4987,1732,3253,2,0,0.3473029877681973,0.652295969520754,0.0004010427110487267,57.733333333333334,58.0,8.982486152021853,51.25,65.0,39.0,75.0,2.886666666666666,2.9,0.4491243076010926,2.5625,3.25,1.95,3.75,P02,,N
subject_gesture,30,4970,4970,1798,3172,0,0,0.3617706237424547,0.6382293762575453,0.0,59.93333333333333,58.0,10.474709553485722,55.0,65.75,41.0,80.0,2.9966666666666675,2.9,0.5237354776742862,2.75,3.2874999999999996,2.05,4.0,P02,,O
subject_gesture,30,4874,4874,1758,3115,1,0,0.3606893721789085,0.6391054575297497,0.0002051702913418137,58.6,54.5,11.053475034794603,50.0,68.0,44.0,83.0,2.93,2.725,0.5526737517397303,2.5,3.4000000000000004,2.2,4.15,P02,,P
